iter	Passed	Remaining
0	68	68431
1	78	39371
2	89	29795
3	99	24782
4	109	21691
5	118	19659
6	127	18124
7	137	17014
8	146	16185
9	158	15665
10	169	15238
11	181	14946
12	211	16066
13	236	16654
14	306	20142
15	358	22047
16	381	22080
17	407	22241
18	432	22353
19	445	21848
20	461	21500
21	475	21147
22	537	22827
23	580	23621
24	677	26415
25	772	28956
26	797	28740
27	813	28246
28	851	28516
29	889	28756
30	909	28436
31	976	29539
32	1040	30503
33	1070	30411
34	1116	30794
35	1173	31412
36	1218	31709
37	1271	32197
38	1288	31758
39	1304	31301
40	1351	31613
41	1520	34671
42	1591	35421
43	1606	34915
44	1699	36060
45	1734	35971
46	1802	36553
47	1831	36318
48	1886	36616
49	1902	36153
50	1948	36264
51	1968	35890
52	1983	35449
53	2052	35958
54	2089	35895
55	2144	36148
56	2190	36237
57	2207	35855
58	2223	35462
59	2248	35233
60	2323	35762
61	2359	35698
62	2377	35355
63	2394	35014
64	2431	34974
65	2498	35361
66	2555	35587
67	2585	35432
68	2611	35232
69	2870	38140
70	2888	37788
71	2915	37582
72	2992	38005
73	3086	38624
74	3104	38293
75	3162	38452
76	3179	38111
77	3320	39255
78	3332	38850
79	3342	38442
80	3355	38070
81	3365	37680
82	3376	37307
83	3387	36944
84	3402	36623
85	3413	36276
86	3424	35940
87	3437	35627
88	3451	35324
89	3463	35016
90	3475	34719
91	3488	34428
92	3500	34143
93	3512	33854
94	3525	33583
95	3535	33296
96	3547	33026
97	3560	32767
98	3570	32491
99	3589	32301
100	3610	32135
101	3637	32025
102	3651	31803
103	3663	31560
104	3672	31301
105	3683	31067
106	3701	30893
107	3709	30640
108	3718	30394
109	3727	30159
110	3738	29939
111	3747	29708
112	3755	29477
113	3763	29253
114	3772	29031
115	3781	28818
116	3791	28614
117	3800	28406
118	3809	28206
119	3819	28009
120	3829	27820
121	3841	27649
122	3851	27459
123	3861	27281
124	3884	27193
125	3908	27109
126	3922	26961
127	3945	26877
128	3953	26696
129	3962	26519
130	3980	26405
131	3991	26249
132	4016	26183
133	4031	26051
134	4069	26073
135	4104	26078
136	4120	25958
137	4137	25844
138	4153	25729
139	4193	25761
140	4224	25735
141	4256	25717
142	4273	25612
143	4305	25591
144	4331	25538
145	4359	25500
146	4379	25412
147	4409	25381
148	4422	25257
149	4443	25181
150	4480	25190
151	4496	25084
152	4512	24978
153	4538	24933
154	4563	24879
155	4582	24791
156	4625	24837
157	4659	24830
158	4674	24727
159	4698	24669
160	4724	24617
161	4781	24731
162	4790	24596
163	4798	24460
164	4811	24348
165	4833	24285
166	4857	24231
167	4876	24152
168	4894	24065
169	4917	24007
170	4940	23953
171	4957	23867
172	4981	23812
173	4998	23726
174	5018	23660
175	5032	23561
176	5054	23504
177	5069	23408
178	5087	23334
179	5106	23263
180	5120	23167
181	5130	23057
182	5145	22972
183	5159	22880
184	5183	22837
185	5202	22766
186	5223	22710
187	5237	22620
188	5253	22541
189	5264	22442
190	5276	22351
191	5295	22286
192	5310	22203
193	5332	22155
194	5344	22063
195	5382	22080
196	5396	21994
197	5419	21953
198	5440	21898
199	5455	21821
200	5476	21768
201	5497	21717
202	5513	21644
203	5531	21583
204	5551	21528
205	5571	21476
206	5604	21471
207	5644	21492
208	5661	21426
209	5696	21431
210	5716	21375
211	5737	21325
212	5750	21246
213	5764	21173
214	5779	21100
215	5824	21139
216	5840	21076
217	5862	21029
218	5880	20972
219	5905	20938
220	5925	20887
221	5951	20857
222	5967	20792
223	5982	20724
224	6001	20670
225	6024	20631
226	6037	20560
227	6045	20468
228	6073	20447
